product_name,brand_name,rating,review,sentiment,issue_category,urgency,reason
Nokia C3 (C3-00) WHITE Unlocked Phone,Nokia,2,"I needed a texting phone that did not require a data plan. I also needed a Nokia as they have the best antenna and can get out when other cell phones can't. Buyer beware! This phone is very difficult to use. It locks after a few seconds of non-use and that can't be turned off! The screen goes dark after only a few seconds of non-use and that too can not be changed. It literally took hours to figure out how to use this phone. An example: I needed to find the call log. After searching forever I finally stumbled across it under contacts. Now that makes sense, why didn't I think of that. The same problem occurred when trying to change the ring tone. Don't bother looking under settings. The only good thing about the phone is that it does get out almost everywhere. And..... no data plan required.",Negative,Performance,High,"Customer found the phone difficult to use, with issues such as locking after a few seconds of non-use, dark screen, and poor navigation."
"Apple iPhone 6S Plus Unlocked Smartphone, 32 GB (Space Gray)",Apple,5,Excellent!,Positive,Others,Low,Customer praised the product.
"Samsung Galaxy Note 3 N9005 Unlocked Cellphone, International Version, 32GB, Black",Samsung,5,"I recommend this excellent team for the many differentiating factors of competition, the screen, the durability of the battery, the S Pen and among others soprendido let me!",Positive,Display,Low,Customer praised the screen and durability of the battery.
BLU Dash L Unlocked Smartphone - Global GSM - Pink,BLU,5,"updated review. Purchased this phone on November 27, 2015. Worked great for 5 months. It started to not keep track of time last week. Now it doesn't charge. I DO NOT RECOMMEND this phone or BRAND. Stay away, far away!!!!!",Negative,Battery,High,"Customer experienced battery issues, including not keeping track of time and not charging."
"LG G3 D855 Factory Unlocked Cellphone, International Version, 16GB, Black",LG,3,battery fail,Negative,Battery,High,Customer reported battery failure.
Apple iPhone 5c 32GB - Unlocked - (Yellow),Apple,1,The phone was orange pink color not yellow like I ordered,Negative,Product Quality,High,Customer received incorrect product color.
Verizon (CDMA) - Motorola MOTO W755 CDMA 3G Camera Cell Phone - Purple & Black,Motorola,3,Limited Battery life. Not a fancy phone but it works. Limited Battery life. Not a fancy phone but it works.,Negative,Battery,High,Customer complained about limited battery life.
"Smart watch,[1 Year Warranty]JoyGeek Gear S Bluetooth Watch Phone for iPhone and android SmartPhones(Black)",JoyGeek,1,"Not at all what I expected, but I guess you get what you pay for. Broke in the first week. Don't bother.",Negative,Product Quality,High,Customer was dissatisfied with product quality and durability.
Apple iPhone 6 Plus 128GB Factory Unlocked GSM 4G LTE Cell Phone - Gold,Unknown,5,100% serious vender very recomended,Positive,Seller Experience,Low,Customer praised the vendor's reliability and recommended them.
"HTC ONE M9 32GB Unlocked GSM 20MP Camera Smartphone, Gunmetal Grey",HTC,5,So easy to use. Love it,Positive,Others,Low,Customer praised ease of use.
BLU Life 8 XL Smartphone - Unlocked - US GSM - White,BLU,3,Good for the 99 price but I wouldn't buy it again. Front facing camera just stopped for no reason.,Negative,Camera,Medium,Customer experienced camera malfunction.
Apple iPhone SE Unlocked Phone - 64 GB Retail Packaging - Gold,Apple,1,"I was very excite when this arrived due to all the great review. Right of the bat, the phone said I am on a lower IOS update so it won't be able to transfer my content from my old iPhone to this. But I ignored it. I had to individually redownload all my apps. Netflix won't work. It won't let me update my iOS. Has Chinese lettering in the back, like wtf. So many problems with this. I wish I could return this or get a replacement because this is bull-crap",Negative,Performance,High,"Customer experienced multiple issues with the phone's performance, including app transfer problems, iOS update issues, and Chinese lettering on the back."
BLU Studio 5.0 C HD Smartphone - Unlocked - Yellow,BLU,4,"Great phone! The only down fall of this phone is the battery life is poor. If you use WiFi, play music, play games or down load anything it drains the battery vary quickly so keep a charger close.",Negative,Battery,High,Customer mentioned poor battery life and quick draining.
CNPGD Watch Cell Phone Mobile Touch Screen Mp3 Mp4 Fm Radio (Black/Silver),CNPGD,5,Awesome thanks,Positive,Others,Low,Customer expressed gratitude.
Samsung Galaxy Note 3 (SM-N900V) - 32GB Verizon + GSM Smartphone - White (Certified Refurbished),Samsung,3,"Got here right on schedule, and haven't had anything extremely wrong with it. But it did however have a software issue with the rear camera that causes the phone to vibrate and cause it to not focus, this is temporarily fixed by shaking the phone to take your pic. But all in all good buy.",Neutral,Camera,Medium,"Customer experienced a software issue with the rear camera, but it was temporarily fixed."
